,Temp,FM,Psi,Date
148,23.65483011,0,-7.377708282,0
149,24.03903676,0,-7.481985974,0
150,24.2332363,0,-8.866858068,0
151,24.35315155,0,-8.094464326,0
152,24.44521119,0,-4.972630403,0
153,24.62302576,0,-5.50831768,0
154,25.02115431,0,-7.092225567,0
155,25.28223511,0,-8.97420411,0
156,25.44404139,0,-11.32293229,0
157,25.58169885,0,-13.03253996,0
158,25.53965968,0,-13.56268899,0
159,25.69371035,0,-13.76642723,0
160,25.36667291,0,-11.92592697,0
161,25.67863236,0,-10.9532823,0
162,25.87813263,0,-11.46661008,0
163,25.84459584,0,-12.91898486,0
164,26.39472386,0,-13.94741669,0
165,26.78582009,0,-14.34956729,0
166,26.97116369,0,-11.97875063,0
167,26.94797808,0,-9.388967776,0
168,27.02835931,0,-9.539859233,0
169,27.05425499,0,-10.84942854,0
170,27.1819134,0,-12.19111387,0
171,27.35813329,0,-13.97134296,0
172,27.78425585,0,-15.22443724,0
173,28.21099044,0,-16.01335132,0
174,28.69868672,0,-15.9106516,0
175,28.88068199,0,-16.11963373,0
176,28.73081422,0,-15.61063481,0
177,28.79882014,0,-16.27128032,0
178,28.99901722,0,-16.83235168,0
179,29.25089578,0,-17.14546799,0
180,29.40819483,0,-17.57537862,0
181,29.12218654,0,-17.31168905,0
182,29.02362415,0,-12.15750708,0
183,29.10573138,0,-12.88095219,0
184,29.03288701,0,-14.9023648,0
185,29.28615256,0,-17.30223843,0
186,29.41075961,0,-19.33144657,0
187,29.61890551,0,-19.8073395,0
188,29.64092017,0,-19.86295732,0
189,29.53231285,0,-19.94367287,0
190,29.59610604,0,-20.95174369,0
191,29.64259403,0,-20.70229593,0
192,29.88046405,0,-20.74670027,0
193,29.86247102,0,-20.4263848,0
194,29.76175057,0,-20.31414246,0
195,29.35711718,0,-16.78485121,0
196,29.31449081,0,-15.4890475,0
197,29.28808829,0,-17.14489186,0
198,29.59591344,0,-19.25797986,0
199,29.79480006,0,-21.92430123,0
200,29.81446801,0,-21.07976637,0
201,30.06419573,0,-19.6309659,0
202,30.20397896,0,-20.08627404,0
203,30.53732599,0,-20.25233444,0
204,30.52522975,0,-19.39244593,0
205,30.48343715,0,-20.27790948,0
206,30.41994881,0,-22.2540588,0
207,30.54481572,0,-20.68794573,0
208,30.68204821,0,-19.68075197,0
209,30.54449138,0,-19.99471415,0
210,30.45315957,0,-21.44075924,0
211,30.60656894,0,-21.98340807,0
212,30.60224458,0,-22.26516162,0
213,30.96265673,0,-20.09530207,0
214,30.7786279,0,-19.00352,0
215,30.5926948,0,-18.33830719,0
216,30.30222799,0,-19.05909487,0
217,30.48172042,0,-19.61851818,0
218,30.41826754,0,-20.10581439,0
219,30.48013755,0,-19.51395536,0
220,30.20365594,0,-17.42243395,0
221,30.02163379,0,-17.60050109,0
222,29.74056496,0,-15.15158841,0
223,29.64921966,0,-13.59010016,0
224,29.74137457,0,-16.04290059,0
225,29.35923372,0,-16.17614016,0
226,29.21826552,0,-14.22098987,0
227,29.45504305,0,-16.11849882,0
228,29.44919729,0,-15.94977713,0
229,29.23559497,0,-13.31148481,0
230,29.28536681,0,-13.2131533,0
231,29.46961892,0,-13.84474358,0
232,29.58821812,0,-15.23143383,0
233,29.20380677,0,-12.97682717,0
234,28.94700127,0,-8.38338162,0
235,28.70329787,0,-8.186520822,0
236,28.8010516,0,-7.177979428,0
237,28.66251273,0,-7.871691111,0
238,28.73230695,0,-10.24951872,0
239,28.81237211,0,-12.00810487,0
240,28.72117718,0,-12.36146023,0
241,28.23240185,0,-9.444712888,0
242,27.96307709,0,-6.656478976,0
243,27.61950048,0,-5.956274379,0
244,27.43155841,0,-6.880348103,0
245,27.19388311,0,-7.377975866,0
246,27.01840498,0,-7.931846533,0
247,27.20675108,0,-8.516189487,0
248,27.02066722,0,-9.04200008,0
249,26.79605547,0,-9.139569401,0
250,26.31131885,0,-7.178739615,0
251,26.0130711,0,-4.681051222,0
252,25.92174852,0,-4.61225606,0
253,25.76962707,0,-5.33999686,0
254,25.43761711,0,-5.782276544,0
255,25.46997747,0,-3.672093347,0
256,25.17301038,0,-3.195223626,0
257,24.82553116,0,-3.821158566,0
258,24.81052771,0,-3.819849798,0
259,24.69851448,0,-3.129253396,0
260,24.7549803,0,-3.494496705,0
261,24.23404848,0,-2.821581812,0
262,24.09644417,0,-3.402775939,0
263,24.14158274,0,-4.094017276,0
264,24.14950953,0,-4.998307455,0
265,24.15339868,0,-6.099553841,0
266,23.68211885,0,-5.887230464,0
267,23.96362102,0,-5.783252156,0
268,23.84621492,0,-4.809021635,0
269,23.11586162,0,-4.176246897,0
270,22.74278521,0,-2.57395017,0
271,22.35579199,0,-1.665389646,0
272,22.18826985,0,-1.484876782,0
273,22.23368772,0,-1.777064812,0
274,22.50556782,0,-2.130236353,0
275,22.37515668,0,-2.338802278,0
276,22.23980383,0,-2.816698305,0
277,22.01713937,0,-3.810019772,0
278,22.05155658,0,-4.757458518,0
279,21.87167724,0,-5.863213091,0
280,22.18067723,0,-4.753530586,0
281,21.8597923,0,-5.752290393,0
282,21.28835772,0,-3.4674068,0
283,21.06417451,0,-2.323304682,0
284,21.07792003,0,-1.971836938,0
285,20.70606214,0,-1.594769504,0
286,20.25365946,0,-1.364745364,0
287,19.78295524,0,-1.201550065,0
288,19.31512588,0,-1.31731564,0
289,19.19972027,0,-1.277218069,0
290,19.27813267,0,-1.493956016,0
291,19.14473312,0,-1.554512313,0
292,19.25423394,0,-1.305389735,0
293,19.04625836,0,-1.113916017,0
294,19.07601018,0,-0.889320819,0
295,18.84160365,0,-0.620357229,0
296,18.64741263,0,-0.582014785,0
297,18.26534276,0,-0.651996298,0
298,18.22887321,0,-0.750112209,0
299,18.05044818,0,-0.872371086,0
300,17.86455106,0,-0.818771298,0
301,17.7452303,0,-0.816243602,0
302,17.3744311,0,-0.992869026,0
303,17.10708952,0,-1.048066337,0
304,16.94907198,0,-0.864668839,0
305,16.60004205,0,-0.782523504,0
306,16.49682597,0,-0.524524254,0
307,16.65922817,0,-0.571257773,0
308,16.47868208,0,-0.507858642,0
309,16.21087889,0,-0.486148788,0
310,15.75875762,0,-0.509813736,0
311,15.28374784,0,-0.54027941,0
312,15.0498129,0,-0.581448417,0
313,14.8953445,0,-0.647989043,0
314,14.26952751,0,-0.69293292,0
315,13.83601884,0,-0.657856429,0
316,13.9800795,0,-0.601123463,0
317,14.50195069,0,-0.661068478,0
318,14.19081615,0,-0.470609507,0
319,13.50051762,0,-0.418565626,0
320,12.80790048,0,-0.423247751,0
321,12.49642397,0,-0.435696574,0
322,12.61841195,0,-0.418713478,0
