"","Month","Day","mean_temp","mean_mois"
"127",5,6,289.375258656831,0.208390426085675
"128",5,7,289.688309288468,0.208666397716082
"129",5,8,290.050933406054,0.207723961891561
"130",5,9,290.09653178871,0.213600654050482
"131",5,10,290.12377203449,0.221227087901154
"132",5,11,290.199692404994,0.223035415546203
"133",5,12,290.369001274635,0.219216548122482
"134",5,13,290.209002659588,0.222497097013851
"135",5,14,290.148584013527,0.226314906337285
"136",5,15,290.187500692936,0.22635311219583
"137",5,16,290.322309352241,0.217123132874737
"138",5,17,290.419184735534,0.216308451491406
"139",5,18,290.756986701221,0.21422985945897
"140",5,19,290.603490572666,0.21279980519716
"141",5,20,290.816789088866,0.212690328278551
"142",5,21,290.964866203113,0.207507918316425
"143",5,22,291.468866297394,0.201022133974862
"144",5,23,291.692514273095,0.197616244346365
"145",5,24,291.679376051687,0.195498287061548
"146",5,25,291.644190333292,0.199460156513487
"147",5,26,291.89114413681,0.197815253110382
"148",5,27,292.128706344262,0.200034474067833
"149",5,28,292.344660948856,0.194866061285102
"150",5,29,292.694748931986,0.190242684060229
"151",5,30,292.846907875016,0.186697545342283
"152",5,31,292.908120445738,0.185424112913215
"153",6,1,293.101060733377,0.185907131502776
"154",6,2,293.266876557806,0.182143690630156
"155",6,3,293.489398534753,0.1783239472934
"156",6,4,293.526272441341,0.183540831517558
"157",6,5,293.555576103212,0.184447427653991
"158",6,6,293.614605665867,0.18672484221191
"159",6,7,293.720809145988,0.184837726491347
"160",6,8,293.709301310451,0.18379234300072
"161",6,9,293.997308266648,0.180347211029222
"162",6,10,294.099204894344,0.184335337750808
"163",6,11,294.135645814737,0.18837299335857
"164",6,12,294.7787912616,0.185584594046285
"165",6,13,295.053412488452,0.18182013970634
"166",6,14,295.183341139035,0.183194526586027
"167",6,15,295.356343477914,0.180771675531756
"168",6,16,295.686689834303,0.17362298760394
"169",6,17,295.643769767597,0.169818579239945
"170",6,18,295.636522080769,0.166545972572423
"171",6,19,295.83631289024,0.162547408298319
"172",6,20,296.097683035171,0.166206573324267
"173",6,21,296.616798752553,0.160448759632008
"174",6,22,296.811274375017,0.159685015747197
"175",6,23,296.769486324603,0.154911093024191
"176",6,24,296.815614402614,0.150778679411794
"177",6,25,297.03527865964,0.145668210596028
"178",6,26,297.451692291448,0.141122935610459
"179",6,27,297.595949282393,0.143600212100125
"180",6,28,297.728638455287,0.146787565223861
"181",6,29,297.696769834398,0.150194189311292
"182",6,30,297.644022965037,0.157481863859486
"183",7,1,297.638599179378,0.1534821492154
"184",7,2,297.545963154524,0.150108342669803
"185",7,3,297.652847459716,0.149830533200608
"186",7,4,297.660538029554,0.148711228557116
"187",7,5,297.731227243019,0.146737038416571
"188",7,6,297.795555977811,0.144974668943455
"189",7,7,297.704095311442,0.147233582484045
"190",7,8,297.701633492525,0.144919911019507
"191",7,9,297.453706626681,0.145975712659118
"192",7,10,297.844778080158,0.150098261523911
"193",7,11,298.010458239582,0.15226098389957
"194",7,12,298.033002650152,0.153053540574145
"195",7,13,297.731616387072,0.162614543858321
"196",7,14,297.362742804514,0.164127551628231
"197",7,15,297.577296049003,0.164166993864011
"198",7,16,297.626425755025,0.162899194028191
"199",7,17,297.790171912207,0.16053592833361
"200",7,18,297.907862986532,0.158036129218428
"201",7,19,298.075167041181,0.157778717705146
"202",7,20,298.343213733003,0.154387516579659
"203",7,21,298.534153018329,0.150652979253349
"204",7,22,298.603469584998,0.148055886700289
"205",7,23,298.768721944593,0.144834985756186
"206",7,24,298.858955672153,0.144035548675672
"207",7,25,298.664079665177,0.144447038327365
"208",7,26,298.758854693737,0.143715537432524
"209",7,27,298.884262939282,0.147185870864847
"210",7,28,298.821369322865,0.150191268882712
"211",7,29,298.74222998923,0.153638278468134
"212",7,30,298.848947203028,0.15092008514384
"213",7,31,298.870286443212,0.149547085381301
"214",8,1,298.688775231318,0.155597645477254
"215",8,2,298.770171851496,0.15368045418631
"216",8,3,298.640007902119,0.150881989697487
"217",8,4,298.584961971943,0.156308849909345
"218",8,5,298.637831826838,0.157582202982589
"219",8,6,298.490049491005,0.157923879443552
"220",8,7,298.347211735774,0.159918649250128
"221",8,8,298.009261654573,0.165558940117372
"222",8,9,297.889226994982,0.168061190349896
"223",8,10,297.87782500912,0.167860846543976
"224",8,11,298.112107444308,0.162435612537035
"225",8,12,298.288681593788,0.159795510486253
"226",8,13,298.10086034415,0.160420076698523
"227",8,14,298.107815856861,0.158208854657947
"228",8,15,297.928115298934,0.165369689869662
"229",8,16,297.86139671424,0.162378098994036
"230",8,17,297.807090718841,0.159695008470062
"231",8,18,297.861187305724,0.157983801517971
"232",8,19,298.113900293502,0.157097671068167
"233",8,20,297.98206283745,0.161521098000184
"234",8,21,298.104095840637,0.156849945394338
"235",8,22,298.146798879484,0.154232402576345
"236",8,23,298.251832267234,0.153017369716871
"237",8,24,298.202097922586,0.150080248266388
"238",8,25,297.978966204341,0.153474341810589
"239",8,26,297.848911672932,0.154190003116984
"240",8,27,297.494226612465,0.163442338226292
"241",8,28,297.668035385313,0.160208169667869
"242",8,29,297.439681949848,0.158994817467371
"243",8,30,296.974663481174,0.165840179276279
"244",8,31,296.499331948675,0.175688768000366
"245",9,1,296.38240559586,0.173659404434141
"246",9,2,296.135394639692,0.171445683629916
"247",9,3,296.100246446952,0.169406060733123
"248",9,4,296.26115925103,0.173016009816735
"249",9,5,296.328065201729,0.173387218833858
"250",9,6,296.135714429964,0.181999850369015
"251",9,7,295.666482409849,0.182956924143377
"252",9,8,295.478156902607,0.179568433360331
"253",9,9,295.413186964482,0.181961455041144
"254",9,10,295.274270133356,0.188194561655414
"255",9,11,295.41481899819,0.184924010186361
"256",9,12,295.358885916269,0.192273484506014
"257",9,13,295.199466226193,0.201270637252971
"258",9,14,294.921450535998,0.205954508615215
"259",9,15,294.480409878541,0.21102781503184
"260",9,16,294.520877626437,0.211685243998687
"261",9,17,294.338351985068,0.212668899753601
"262",9,18,293.869069082537,0.215407516478173
"263",9,19,293.709390031266,0.214054472041548
"264",9,20,293.573995723017,0.206057738242955
"265",9,21,293.587566809671,0.20923597606183
"266",9,22,293.693678607165,0.207715666337868
"267",9,23,293.571854784775,0.217135081548057
"268",9,24,293.304704060973,0.221085627900673
"269",9,25,293.054501041655,0.217253006389685
"270",9,26,292.603223393151,0.212271199957133
"271",9,27,292.292007384922,0.206275409569475
"272",9,28,292.559676888233,0.20331676378547
"273",9,29,292.628571203002,0.226167033537179
"274",9,30,292.777866976681,0.224554383874773
"275",10,1,292.99083981114,0.218816059899264
"276",10,2,292.764343629789,0.22159458021564
"277",10,3,292.726182575104,0.222781318297799
"278",10,4,292.143959736852,0.22672902190573
"279",10,5,292.050770122126,0.229548526940624
"280",10,6,292.127853925979,0.229125020801617
"281",10,7,291.953011770284,0.229774164131539
"282",10,8,291.824508785347,0.225567127439864
"283",10,9,291.847012134806,0.227878603407258
"284",10,10,291.748350756274,0.239415080924364
"285",10,11,291.360569094157,0.23907618146224
"286",10,12,291.350807641679,0.242619856071573
"287",10,13,291.148924215496,0.24936536957462
"288",10,14,290.940335520191,0.250162697648094
"289",10,15,290.518030693575,0.250784260495946
"290",10,16,290.25986746672,0.24806999604858
"291",10,17,290.346810520672,0.247765666963383
"292",10,18,290.560847880736,0.246711838657045
"293",10,19,290.747443389391,0.250690506253483
"294",10,20,290.919725432556,0.251486926364631
"295",10,21,290.369189727318,0.251410442423167
"296",10,22,289.76305435133,0.257106609148939
"297",10,23,289.906676123702,0.256965885028492
"298",10,24,289.706478641315,0.253371412285795
"299",10,25,289.709131366045,0.244666697041794
"300",10,26,289.470561648076,0.247355610694178
"301",10,27,289.296140717419,0.249425577961321
"302",10,28,288.924479276005,0.249114652213203
"303",10,29,288.573210876405,0.245034626461231
"304",10,30,288.404743658122,0.242634519205239
"305",10,31,288.607793743781,0.247151077753846
"306",11,1,288.435984784669,0.248803904120283
"307",11,2,288.286795442717,0.252629955448936
"308",11,3,288.019816570071,0.252498146558925
"309",11,4,287.643600159757,0.25621762368387
"310",11,5,287.352045085706,0.262466251873056
"311",11,6,286.815975080181,0.262716555076161
"312",11,7,286.329766659664,0.262213885183693
"313",11,8,286.262627709317,0.258913530733668
"314",11,9,286.419814031,0.256313616340831
