"","Year","Month","Day","Hour","soil_temp","soil_mois"
"4441","2014","7","5","0","294.789682368252","0.166388708996176"
"4442","2014","7","5","1","294.164810226068","0.166415676581214"
"4443","2014","7","5","2","293.288156501454","0.166438791654105"
"4444","2014","7","5","3","293.263720160698","0.166461906726995"
"4445","2014","7","5","4","292.898484139044","0.166485021799885"
"4446","2014","7","5","5","292.77150243976","0.166500431848479"
"4447","2014","7","5","6","293.26721106652","0.16645034919055"
"4448","2014","7","5","7","294.681464287762","0.166207640925202"
"4449","2014","7","5","8","296.666916974171","0.165722224394507"
"4450","2014","7","5","9","297.812806810327","0.164986394574168"
"4451","2014","7","5","10","299.609750582334","0.163811378368914"
"4452","2014","7","5","11","300.443204347398","0.162805872698188"
"4453","2014","7","5","12","301.109094632994","0.161835039636798"
"4454","2014","7","5","13","301.506621533503","0.160991339476304"
"4455","2014","7","5","14","301.59389417906","0.16010140917003"
"4456","2014","7","5","15","301.441603412564","0.159138281132936"
"4457","2014","7","5","16","301.298912637079","0.158302285996739"
"4458","2014","7","5","17","300.746040427479","0.157651211443664"
"4459","2014","7","5","18","299.930913917982","0.157219730083046"
"4460","2014","7","5","19","298.978332991733","0.157007841914885"
"4461","2014","7","5","20","298.631424225647","0.156957759256957"
"4462","2014","7","5","21","297.746479599704","0.156946201720511"
"4463","2014","7","5","22","296.457026261608","0.156822921331763"
"4464","2014","7","5","23","295.643645205022","0.156842183892505"
"4465","2014","7","6","0","295.027500327394","0.156873003989692"
"4466","2014","7","6","1","294.557537131072","0.156892266550434"
"4467","2014","7","6","2","294.125537535568","0.156899971574731"
"4468","2014","7","6","3","294.03259216805","0.156915381623324"
"4469","2014","7","6","4","293.979355854261","0.156919234135473"
"4470","2014","7","6","5","293.526410823823","0.156919234135473"
"4471","2014","7","6","6","294.208446548846","0.156822921331763"
"4472","2014","7","6","7","295.597390702877","0.156553245481377"
"4473","2014","7","6","8","297.229389174782","0.156021598804902"
"4474","2014","7","6","9","297.965097576823","0.155258801399524"
"4475","2014","7","6","10","299.029387489384","0.157743671735225"
"4476","2014","7","6","11","300.165677334529","0.156745871088796"
"4477","2014","7","6","12","301.072876485088","0.1556710201994"
"4478","2014","7","6","13","301.652366851583","0.154592316797855"
"4479","2014","7","6","14","301.902402981102","0.153590663639278"
"4480","2014","7","6","15","301.807275797445","0.152681470772262"
